10000	factoid	How high is Mt. Everest?	29,?029\s*('|f(ee|oo)?t)|8,?848\s*m
10001	factoid	How many Platonic solids do we have?	\b5\b|five
10002	factoid	How many bombs were detonated in 2005 in London?	four|\b4\b
10003	factoid	How many children did Maria Theresa have?	sixteen|\b16\b
10004	factoid	How many colors do you need to color a planar graph?	four|\b4\b
10005	factoid	How many pieces are there in a dozen?	\b12\b|twelve
10006	factoid	How old did Jesus die?	\b33\b|thirty-three
10007	factoid	In what city the first nuclear bomb exploded?	Hiroshima
10008	factoid	What color is the computer which beat Kasparov at chess in 1997?	blue
10009	factoid	What color is the sky?	blue
10010	factoid	What currency is used in Christiania?	L[oø]n
10011	factoid	What currency is used in Ukraine?	UAH|hryvnia
10012	factoid	What did James Watson and Francis Crick discover?	DNA|deoxyribonucleic
10013	factoid	What does Tardis stand for?	Time and Relative Dimension in Space
10014	factoid	What is Albert Einstein's surname?	Einstein
10015	factoid	What is capital city of Russia?	Moscow
10016	factoid	What is the capital city of Ukraine?	Kiev
10017	factoid	What is the capital of Laos?	Vientiane
10018	factoid	What is the color of blood?	red
10019	factoid	What is the color of pea?	green|yellow
10020	factoid	What is the color of pee?	yellow|golden
10021	factoid	What is the critical mass of Plutonium?	\b(9|10)(\.[0-9]*)?\s*k(ilo)?g
10022	factoid	What is the density of gold?	\b19\.3.*cm|\b19,?3.*kg
10023	factoid	What is the density of water?	\b(1|0\.9.*)\s*g|\b(1,?000|9.*)\s*kg
10024	factoid	What is the first derivative of x^2?	2\s*.?\s*x
10025	factoid	What is the highest mountain in the Czech Republic?	Sne[zž]ka
10026	factoid	What is the name of the computer which beat Kasparov at chess in 1997?	Deep Blue
10027	factoid	What is the name of the longest running soap opera TV series?	Coronation Street
10028	factoid	What is the name of the second Beatles album?	Second Album
10029	factoid	What is the proton number of neon?	\b10\b|ten
10030	factoid	What language is spoken in Latin America?	((spanish|portuguese).*){2}
10031	factoid	When did Maria Theresa die?	1780
10032	factoid	When is christmas?	Dec.*\b2[45]\b
10033	factoid	When was Declaration of Independence signed?	1776
10034	factoid	When was Google founded?	1998
10035	factoid	When was Maria Theresa born?	1717
10036	factoid	When was the first of the International Mathematical Olympiads held?	1959
10037	factoid	When was the first commercially successful steam engine invented?	1698|1712
10038	factoid	When was Watt's steam engine invented?	1765|177[46]
10039	factoid	Where was Declaration of Independence signed?	Philadelphia
10040	factoid	Where was the first atomic bomb detonated?	White Sands|New Mexico
10041	factoid	Where was the first of the International Mathematical Olympiads held?	Romania
10042	factoid	Which space shuttle exploded?	((Columbia|Challenger).*){2}
10043	factoid	Who discovered polarography?	Heyrovsk[yý]
10044	factoid	Who discovered the structure of DNA?	((Watson|Crick).*){2}
10045	factoid	Who invented bitcoin?	Nakamoto
10046	factoid	Who is author of cryptonomicon?	Stephenson
10047	factoid	Who is the author of Neuromancer?	Gibson
10048	factoid	Who played Frodo in Lord of The Rings?	Wood
10049	factoid	Who received the Nobel Prize in Physiology or Medicine in 1962?	((Crick|Watson|Wilkins).*){3}
