1394	factoid	In what country did the game of croquet originate? 	French
1395	factoid	Who was Tom Cruise married to last? 	Katie Holmes
1396	factoid	What is the name of the volcano that destroyed the ancient city of Pompeii? 	Vesuvius
1397	factoid	What was the largest crowd to ever come see Michael Jordan? 	62,046
1398	factoid	What year was Alaska purchased? 	1867
1399	factoid	What mythical Scottish town appears for one day every 100 years? 	Brigadoon
1400	factoid	When was the telegraph invented? 	1844|1860
1401	factoid	What is the democratic party symbol? 	donkey
1402	factoid	What year did Wilt Chamberlain score 100 points? 	1962
1403	factoid	When was the internal combustion engine invented? 	1867
1404	factoid	How many chromosomes does a human zygote have? 	23 pairs|46
1405	factoid	How many ounces are in a gallon? 	128
1406	factoid	When did the story of Romeo and Juliet take place? 	13th century
1407	factoid	When did the shootings at Columbine happen? 	April 20\s?, 1999
1408	factoid	Which political party is Lionel Jospin a member of? 	Socialist
1409	factoid	Which vintage rock and roll singer was known as "The Killer"? 	Jerry Lee Lewis
1410	factoid	What lays blue eggs? 	Araucana
1411	factoid	What Spanish explorer discovered the Mississippi River? 	Hernando de Soto
1412	factoid	Who is the governor of Colorado? 	(Roy_)?Romer|Owens
1413	factoid	What river is called "China's Sorrow"? 	Yellow
1414	factoid	What was the length of the  Wright brothers' first flight? 	120\s?\-?\s?f(ee|oo)t
1415	factoid	Where does the vice president live when in office? 	U.S\s?. Naval Observatory
1416	factoid	When was Wendy's founded? 	1969
1417	factoid	Who was the first person to run the mile in less than four minutes? 	Roger Bannister
1418	factoid	When was the Rosenberg trial? 	1951
1419	factoid	What year did Alaska become a state? 	1958|1959
1421	factoid	When did Mike Tyson bite Holyfield's ear? 	1997
1423	factoid	What is a peninsula in the Philippines? 	Bataan|Bicol|Zamboanga
1424	factoid	Who won the Oscar for best actor in 1970? 	George C. Scott
1425	factoid	What is the population of Maryland? 	5.1 million
1426	factoid	Who is the governor of Tennessee? 	Sundquist
1427	factoid	What was the first spaceship on the moon? 	Eagle
1428	factoid	Who won the Nobel Peace Prize in 1992? 	Menchu
1429	factoid	What was Andrew Jackson's wife's name? 	Rachel
1431	factoid	Who starred in "The Poseidon Adventure"? 	Gene Hackman|Roderick Andrew Anthony Jude McDowall
1432	factoid	Where is Devil's Tower? 	Wyoming
1433	factoid	What is the height of the tallest redwood? 	367 1/2|367.5|370\s?-\s?foot(-tall)?
1434	factoid	What site did Lindbergh begin his flight from in 1927? 	Long Island|New\s?York|Roosevelt Field
1435	factoid	What nation is home to the Kaaba? 	Saudi Arabia
1436	factoid	What was the name of Stonewall Jackson's horse? 	Little Sorrel
1438	factoid	What body of water does the Colorado River flow into? 	Gulf of Mexico
1439	factoid	How deep is Crater Lake? 	1\s?,\s?932 feet
1440	factoid	Who was the lead singer for the Commodores? 	Lionel Richie
1441	factoid	What is the coldest place on earth? 	Antarctica?|South Pole|Vostok Station
1442	factoid	What is the chemical formula for sulphur dioxide? 	SO2
1443	factoid	When did Bob Marley die? 	1981
1444	factoid	What female leader succeeded Ferdinand Marcos as president of the Philippines? 	Corazon Aquino
1446	factoid	How did Mahatma Gandhi die? 	shot dead
1447	factoid	What is the capital of Syria? 	Damascus
1449	factoid	What college did Magic Johnson attend? 	Michigan State
1450	factoid	Which U.S. state is the leading corn producer? 	Iowa
1451	factoid	Where was the first McDonalds built? 	California|San Bernardino( , Calif.)?
1452	factoid	What is the name given to a collection of poetry?1 	compendium
1453	factoid	Where was the first J.C. Penney store opened? 	Kemmerer\s?, Wyo\.?
1454	factoid	How much money does the U.S. supreme court make? 	\$ 175,400
1455	factoid	The Hindenburg disaster took place in 1937 in which New Jersey town? 	Lakehurst
1456	factoid	What is the Keystone State? 	Pennsylvania
1457	factoid	Who succeeded Ferdinand Marcos? 	Corazon Aquino
1458	factoid	What was the name of the high school in "Grease"? 	Rydell
1459	factoid	What is one national park in Indiana? 	Indiana Dunes National Lakeshore
1460	factoid	What was the name of the dog in the Thin Man movies? 	Asta
1462	factoid	Where is the oldest synagogue in the United States? 	Newport
1463	factoid	What is the North Korean national anthem? 	Patriotic Song
1464	factoid	Who is the detective on "Diagnosis Murder"? 	Steve Sloan
1465	factoid	What company makes Bentley cars? 	Rolls\s?-?\s?Royce|VW|Volkswagen
1466	factoid	How tall is Allen Iverson? 	6\s?-?\s?f(ee|oo)t|six\s?-?feet
1467	factoid	What year did South Dakota become a state? 	1889
1469	factoid	When did Alexandra Graham Bell invent the telephone? 	1876
1470	factoid	When did president Herbert Hoover die? 	1964
1471	factoid	How fast does a cheetah run? 	105 kilomet(er|re)s? per hour|60 m.p.h
1472	factoid	How do you say "house" in Spanish? 	casa
1473	factoid	When was Lyndon B. Johnson born? 	1908
1474	factoid	What is the lowest point on earth? 	Dead Sea
1475	factoid	Who was the first person to reach the south pole? 	Amundsen
1476	factoid	Who was the Roman god of the sea? 	Neptune
1477	factoid	What are wavelengths measured in? 	angstrom|nanometers
1478	factoid	What is the name of the heroine in "Gone with the Wind"? 	Scarlett
1479	factoid	Who composed "The Messiah"? 	Handel
1480	factoid	What is the principle port in Ecuador? 	Guayaquil
1481	factoid	What is the capital city of Algeria? 	Algiers
1482	factoid	What county is Wilmington, Delaware in? 	New Castle
1483	factoid	Where is the highest point on earth? 	Everest
1484	factoid	What college did Allen Iverson attend? 	Georgetown
1487	factoid	How much are tickets to Disney World? 	30.5\s?0|\$\s?46(.64)?
1488	factoid	What is the name of the professional baseball team in Myrtle Beach, South Carolina? 	Pelicans
1489	factoid	What continent is India on? 	Asia
1490	factoid	What is the Boston Strangler's name? 	Albert DeSalvo
1491	factoid	What was the name of Sherlock Holmes' brother? 	Mycroft
1492	factoid	How old was Nolan Ryan when he retired? 	4(4|6)
1493	factoid	When was Davy Crockett born? 	1786
1494	factoid	Who wrote "East is east, west is west and never the twain shall meet"? 	Kipling
1496	factoid	What country is Berlin in? 	Germany
1497	factoid	What was the original name before "The Star Spangled Banner"? 	Defense of Fort M'Henry
1498	factoid	What school did Emmitt Smith go to? 	Escambia High School
1499	factoid	Which African country's major export is coffee? 	Ethiopia|Tanzania|Uganda
1500	factoid	Where is Georgetown University? 	Washington,?
1501	factoid	How much of U.S. power is from nuclear energy? 	20 percent
1502	factoid	What year was President Kennedy killed? 	1963
1503	factoid	What is the world's second largest island? 	New Guinea
1504	factoid	Where is the Salton Sea? 	Calif(\s?\.|ornia)
1505	factoid	What is the currency used in China? 	RMB|Ren?minbi|Yuan
1506	factoid	What's the name of King Arthur's sword? 	Excalibur
1507	factoid	What is the national anthem in England? 	God Save the Queen
1508	factoid	What was Dale Evans' horse's name? 	Buttermilk
1509	factoid	What is Frank Sinatra's nickname? 	Chairman of the Board|Ol\s?' Blue Eyes
1510	factoid	Where is Anne Frank's diary? 	Amsterdam
1512	factoid	What is the age of our solar system? 	4.(5|6) billion years
1513	factoid	What is the current population in Bombay, India? 	15 million
1514	factoid	What is Canada's most populous city? 	Toronto
1515	factoid	What was Dr. Seuss' real name? 	Theodore? (Seuss )?Geisel
1516	factoid	What does CPR stand for? 	Contraceptive Prevalence Rate|cardio\s?-?\s?pulm(o|i)nary resuscitation
1517	factoid	What is the state bird of Alaska? 	willow ptarmigans?
1518	factoid	What year did Marco Polo travel to Asia? 	1292
1519	factoid	Where was Hans Christian Anderson born? 	Denmark|Odense
1520	factoid	What is the capital of Kentucky? 	Frankfort
1521	factoid	What year did Ellis Island open its doors to immigrants? 	1892
